医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所,,
"医療法人社団伸和会武井クリニック",,140-0011,03-5499-8322,,,1,,1,,大田区,13111,南雪谷,２-１７-７第三サンユービル１階,,1,,,,,1,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,10:30~12:00,10:30~12:00,,,,1,南雪谷２-１７-７第三サンユービル１階,35.59066,139.68016
東日本橋内科クリニック,,103-0004,03-3249-0873,,,1,,,,中央区,13102,東日本橋,"３-１１-８MKT東日本橋ビル２階",,1,,1,1,,1,,,,9:00~12:30,15:00~18:30,9:00~12:30,15:00~18:30,9:00~12:30,15:00~18:30,9:00~12:30,15:00~18:30,,,,,,1,"東日本橋３-１１-８MKT東日本橋ビル２階",35.69218,139.78448
クリニックフォア有楽町,,100-0006,web予約,https://reservation.clinicfor.life/c/yurakucho,1,1,,,,千代田区,13101,有楽町,２‐７‐１ ,有楽町イトシアB1F,,,,,,,,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,,,有楽町２‐７‐１ 有楽町イトシアB1F,35.67421,139.76366
医療法人社団中興会ﾐﾙディス内科胃腸科クリニック,,120-0034,03-3888-1871,,1,1,1,,,足立区,13121,千住,3-98千住ﾐﾙディスⅡ番館304,,1,,,,,1,,12:00~13:00,,,,,,12:00~13:00,,,,,,,,,,千住3-98千住ﾐﾙディスⅡ番館304,35.75194,139.80496
日暮里内科・糖尿病内科クリニック,,116-0013,web予約,https://nipporinaika-clinic.com/fever-outpatient/,1,1,1,1,,荒川区,13118,西日暮里,"2-26-12ガーネットビル2F",,1,,,1,,1,,10:00~13:00,,10:00~13:00,16:00~19:00,,,10:00~13:00,16:00~19:00,10:00~13:00,16:00~19:00,9:00~13:00,,9:00~13:00,,,,"西日暮里2-26-12ガーネットビル2F",35.73006,139.77107
道川内科クリニック,,110-0013,03-3873-1271,,1,1,,,,台東区,13106,入谷,2-24-11,,,,1,1,,,,9:00~12:00,4:00~6:00,9:00~12:00,4:00~6:00,9:00~12:00,4:00~6:00,9:00~12:00,12:00~12:00,9:00~12:00,12:00~12:00,9:00~12:00,12:00~12:00,,,,,入谷2-24-11,35.72091,139.78749
医療法人曙新泉会知念医院,,202-0011,042-467-7788,,1,1,1,1,1,西東京市,13229,泉町,2001/11/14,,1,,1,,1,1,1,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,,,,泉町1-11-14,35.74316,139.5569
一般社団法人文京区医師会付属診療所,,113-0022,03-3823-2217,,1,1,,,,文京区,13105,千駄木,２-２６-８-３Ｆ,,,,1,1,1,,,,,,,,,,,,,,,9:30~12:00,12:00~16:00,,,千駄木２-２６-８-３Ｆ,35.72483,139.76143
医療法人社団昭清会 千葉内科歯科クリニック,,142-0043,03-3781-2053,,1,1,1,,,品川区,13109,二葉 ,,2002/2/2,1,,1,1,1,1,,11:00~12:00,18:00~19:00,11:00~12:00,18:00~19:00,11:00~12:00,18:00~19:00,,,11:00~12:00,18:00~19:00,11:00~12:00,,,,無し,,二葉 2-2-2,35.6027,139.71584
原町内科,,152-0011,03-6451-2410,,1,1,1,,,目黒区,13110,原町,2002/8/10,,1,,1,1,,1,,,,11:30~12:30,14:30~15:00,11:30~12:30,14:30~15:00,11:30~12:30,14:30~15:00,11:30~12:30,14:30~15:00,11:30~12:30,14:30~15:00,,,英語,,原町2-8-10,35.61649,139.69612
医療法人社団 隆靖会 墨田中央病院,,131-0046,03-3617-1414,,1,1,1,,,墨田区,13107,京島,３丁目６７番１号,,1,,1,1,,,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,,,簡単な英会話のみ,,京島３丁目６７番１号,35.71316,139.82632
太田医院,,192-0032,042-642-6938,,1,1,,,,八王子市,13201,石川町,２０７４番地,,1,,1,1,1,1,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,,,,,,石川町２０７４番地,35.67054,139.36
医療法人財団順和会山王病院,,107-0052,03-3402-3151,,1,1,1,,,港区,13103,赤坂,2008/10/16,,1,,,1,,,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,,,,,赤坂８-１０-１６,35.66859,139.74234
あけぼの病院,,194-0021,042-728-1111,,,1,,,,町田市,13209,中町,1-23-3,,1,,,,1,,,9:00~11:00,13:00~16:00,9:00~11:00,13:00~16:00,9:00~11:00,13:00~16:00,9:00~11:00,13:00~16:00,9:00~11:00,13:00~16:00,9:00~11:00,13:00~16:00,,,,1,中町1-23-3,35.54951,139.44518
せきぐちクリニック,,156-0055,03-3429-4181,,1,1,,,,世田谷区,13112,船橋,1-16-1,,,,1,1,1,,,9:00~11:00,15:00~17:00,9:00~11:00,15:00~17:00,,,9:00~11:00,15:00~17:00,9:00~11:00,15:00~17:00,9:00~11:00,,,,,,船橋1-16-1,35.65025,139.62386
医療法人社団澄琴会 夏目坂皮フ科クリニック,,162-0053,03-6205-6555,,1,1,1,1,1,新宿区,13104,原町,３-３７ ,アイランドビル１F,1,,,1,,,,12:00~15:00,19:00~20:00,12:00~15:00,19:00~20:00,,,12:00~15:00,19:00~20:00,12:00~15:00,19:00~20:00,12:00~14:00,17:00~20:00,,,中国語,,原町３-３７ アイランドビル１F,35.70058,139.72163
桜新町こどもクリニック,,154-0014,03-5450-1515,,1,1,,1,,世田谷区,13112,新町,3-2-1ラフィーネ桜新町１階,,,,1,,1,,,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~14:00,,,,英語,1,新町3-2-1ラフィーネ桜新町１階,35.6321,139.64862
代々木の森耳鼻咽喉科,,151-0063,03-5453-8733,,1,1,1,1,1,渋谷区,13113,富ヶ谷,1-8-3安達ビジネスパークビル2Ｆ,,1,,1,1,,,,,18:00~19:00,,18:00~19:00,,18:00~19:00,,,,18:00~19:00,,14:00~15:00,,,,,富ヶ谷1-8-3安達ビジネスパークビル2Ｆ,35.66876,139.69057
医療法人社団涓泉会 山王リハビリ・クリニック,,145-0065,03-5754-2672,,1,1,1,,,大田区,13111,東雪谷,2003/4/2,,1,,,1,,1,,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,,,,,,,東雪谷3-4-2,35.59669,139.68593
公益財団法人佐々木研究所附属 杏雲堂病院,,101-0062,03-3292-2051,,1,1,1,,,千代田区,13101,神田駿河台,1月8日,,1,,,,,1,,9:00~13:00,13:00~16:00,9:00~13:00,13:00~16:00,9:00~13:00,13:00~16:00,9:00~13:00,13:00~16:00,9:00~13:00,13:00~16:00,9:00~12:00,,,,,,神田駿河台１-８,35.698,139.76244
あいクリニック平尾,,206-0823,042-350-5062,,1,1,,1,1,稲城市,13228,平尾,2003/7/4,コーシャハイム平尾１階,1,,1,1,,1,,9:00~12:00,,,,9:00~12:00,,9:00~12:00,,,,,,,,,,平尾3-7-4　コーシャハイム平尾１階,35.60762,139.49544
医療法人社団めぐみ会 南大沢メディカルプラザ,,192-0364,042-670-2460,,1,1,,,,八王子市,13201,南大沢,2月25日,フォレストモール2階,1,,1,1,1,1,,,14:00~18:00,,,,14:00~18:00,,,,14:00~18:00,,14:00~17:00,,14:00~17:00,,1,南大沢2-25 フォレストモール2階,35.61045,139.38521
医療法人社団南山寿会 中島内科クリニック,,185-0012,042-327-3888,,1,1,,,,国分寺市,13214,本町,３-１３-１,,,,1,,1,,1,13:00~15:00,18:00~19:00,13:00~15:00,18:00~19:00,13:00~15:00,18:00~19:00,,,13:00~15:00,18:00~19:00,12:00~13:00,,,,,,本町３-１３-１,35.70343,139.48021
田島クリニック,,175-0094,03-5383-6622,,1,1,1,1,1,板橋区,13119,成増,5-18-4,,1,,1,1,1,1,,13:00~14:00,18:00~20:00,13:00~14:00,18:00~20:00,,13:00~20:00,13:00~14:00,18:00~20:00,13:00~14:00,18:00~20:00,,13:00~20:00,,13:00~20:00,,,成増5-18-4,35.78716,139.63434
あいクリニック中沢,,206-0036,042-311-2820,,1,1,,,,多摩市,13224,中沢,2002/5/3,ゆいま～る中沢A棟1階,1,,,,,1,,9:00~12:00,14:00~17:00,9:00~12:00,,,,9:00~12:00,,9:00~12:00,,,,,,,,中沢2-5-3 ゆいま～る中沢A棟1階,35.61989,139.41356
医療法人社団 博栄会 浮間中央病院,,115-0052,03-3907-8711,,1,1,1,,,北区,13117,赤羽北,2-21-19,,1,,1,,1,1,,9:00~11:30,14:00~16:30,9:00~11:30,14:00~16:30,9:00~11:30,14:00~16:30,9:00~11:30,14:00~16:30,,14:00~16:30,9:00~11:30,,,,,,赤羽北2-21-19,35.784,139.70337
都立大わたなべ耳鼻咽喉科,,152-0023,web予約,https://www.watanabejibi.jp/,1,1,1,1,1,目黒区,13110,八雲,2002/8/11,第一益戸ビル1階,1,,1,1,,1,,9:00~11:40,14:30~17:40,9:00~11:40,14:30~17:40,9:00~11:40,14:30~17:40,9:00~11:40,14:30~17:40,9:00~11:40,14:30~17:40,9:00~11:40,,,,,,八雲2-8-11 第一益戸ビル1階,35.62399,139.67122
医療法人社団HMS　はら耳鼻咽喉科,,134-0084,03-3680-0304,,,1,,1,1,江戸川区,13123,東葛西,2006/11/3,,,,1,1,,,,,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,,12:00~14:00,,12:00~14:00,英語,1,東葛西6-11-3,35.66831,139.87656
医療法人社団藤佳会 目黒やすだ内科クリニック,,153-0063,03-6303-2755,,1,1,,1,1,目黒区,13110,目黒,3-10-13-4階,,,,,,,,,8:50~12:40,14:30~18:30,8:50~12:40,14:30~18:30,8:50~12:40,,8:50~12:40,14:30~18:30,8:50~12:40,14:30~18:30,8:50~12:40,,,,英語,,目黒3-10-13-4階,35.63285,139.70692
医療法人社団四谷森田 もりた眼科小児科,,160-0004,03-6380-5363,,1,1,,1,,新宿区,13104,四谷,1-6-1-205B ,コモレ四谷 （届出名称は四谷タワーコモレMall）,,,,,,,,,12:00~15:00,,12:00~13:00,,12:00~15:00,,12:00~13:00,,12:00~15:00,,12:00~15:00,,12:00~15:00,,,四谷1-6-1-205B コモレ四谷 （届出名称は四谷タワーコモレMall）,35.68591,139.72881
医療法人社団愛優会 西葛西三丁目診療所,,134-0088,03-3869-1465,,1,1,1,1,1,江戸川区,13123,西葛西,2003/11/8,第五サンキビル102号,1,,,,,1,,9:30~12:00,13:00~17:00,9:30~12:00,13:00~17:00,9:30~12:00,13:00~17:00,9:30~12:00,13:00~17:00,9:30~12:00,13:00~17:00,,,,,,,西葛西3-11-8 第五サンキビル102号,35.66837,139.8519
医療法人社団DEN みいクリニック代々木,,151-0053,03-6276-5385,,1,1,1,1,1,渋谷区,13113,代々木,2-44-12,,1,1,1,1,,1,,9:30~13:00,14:00~17:30,9:30~13:00,14:00~17:30,9:30~13:00,14:00~17:30,9:30~12:00,,9:30~13:00,14:00~17:30,,,,,英語,,代々木2-44-12,35.68282,139.69678
医療法人社団おなか会 おなかクリニック,,192-0083,042-649-1547,,1,1,1,,1,八王子市,13201,旭町,12月12日,,1,1,1,1,1,1,,,3:00~5:00,,3:00~5:00,,4:00~5:00,,3:00~5:00,,3:00~5:00,11:00~12:00,,,,,1,旭町12-12,35.65731,139.34062
医療法人財団南葛勤医協 すみだ共立診療所,,131-0031,03-3611-5545,,,1,,,,墨田区,13107,墨田,3-41-15,,1,,,,,1,,10:00~12:00,2:00~4:00,10:00~12:00,2:00~4:00,10:00~12:00,2:00~4:00,10:00~12:00,,12:00~13:00,2:00~4:00,,,,,,,墨田3-41-15,35.72989,139.82275
医療法人社団さいわいこどもクリニック,,190-0002,042-536-7280,,1,1,,2,,立川市,13202,幸町,2001/11/3,,1,,1,,1,1,,9:00~12:00,,9:00~12:00,,9:00~12:00,,,,9:00~12:00,,9:00~12:00,,,,英語（要相談）,1,幸町１-１１-３,35.72026,139.42082
医療法人社団吉祥社 中町内科医院,,180-0006,0422-55-1203,,,1,,,,武蔵野市,13203,中町,2-31-12 ,メゾン・ド・マーティ１階,1,,1,,1,1,,11:45~12:15,,11:45~12:15,,11:45~12:15,,,,11:45~12:15,,,,,,,1,中町2-31-12 メゾン・ド・マーティ１階,35.70523,139.5676
医療法人社団永高会　蒲田クリニック,,144-0052,03-3737-6221,,,1,,,,大田区,13111,蒲田,5-40-7　,"大塚ビル401",1,,1,,1,1,,,,,,,,,,,,,,,,,1,"蒲田5-40-7　大塚ビル401",35.56087,139.71648
東京都立駒込病院,,113-8677,03-3823-2101,,1,1,,,,文京区,13105,本駒込三丁目,１８番２２号,,1,,1,1,,,,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,9:00~12:00,12:00~17:00,,,,,,,本駒込三丁目１８番２２号,35.72929,139.755
表参道クリニック,,150-0001,090-2455-5700,,1,1,,1,,渋谷区,13113,神宮前,3-13-2,,,,1,1,,,,11:00~12:00,16:00~17:00,,,,,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,,,,"英語",,神宮前3-13-2,35.67029,139.71094
医療法人社団中央白報会 総合クリニック ドクターランド錦糸町,,130-0012,0570-089-073,,1,1,,,,墨田区,13107,太平,2004/1/2,オリナス・モール4F,,,,,,,,,16:00~16:30,,16:00~16:30,,16:00~16:30,,16:00~16:30,,16:00~16:30,,,,,日本語のみ,,太平4-1-2 オリナス・モール4F,35.70144,139.81691
医療法人社団Heartbeat　新宿グリーンタワー内科クリニック,,160-0023,web予約,https://ssl.fdoc.jp/reserve/subjectlist/index/cid/s6021877?SITE_CODE-fdoc&_ga-2.30669631.1873210114.,1,1,1,,,新宿区,13104,西新宿,６-１４-１新宿グリーンタワービル２Ｆ,,1,,1,1,1,1,,10:00~12:00,16:00~18:30,10:00~12:00,16:00~18:30,10:00~12:00,15:00~18:30,10:00~12:00,15:00~18:30,10:00~12:00,,9:00~13:30,,,,English,1,西新宿６-１４-１新宿グリーンタワービル２Ｆ,35.69244,139.6897
たにざき循環器内科クリニック,,183-0005,042-319-0056,,1,1,,,,府中市,13206,若松町,2001/5/20,,1,,1,1,1,1,,,13:00~14:00,,13:00~14:00,,13:00~14:00,,,,13:00~14:00,,,,,,,若松町1-5-20,35.6688,139.50029
さくらクリニック,,131-0046,03-3616-0331,,1,1,,1,,墨田区,13107,京島,１-２５-４ ,曳舟ダイヤモンドマンション１０５Ｂ,1,,1,1,1,1,,9:00~13:00,15:00~19:00,9:00~13:00,15:00~19:00,9:00~13:00,15:00~19:00,9:00~13:00,15:00~19:00,9:00~13:00,15:00~19:00,9:00~12:00,13:00~15:00,,,,,京島１-２５-４ 曳舟ダイヤモンドマンション１０５Ｂ,35.71548,139.81987
日本橋循環器科クリニック,,103-0001,03-5641-4133,,1,1,,,,中央区,13102,日本橋小伝馬町,13-4共同ビル201,,,,,,,,,,19:00~20:00,13:00~14:00,19:00~20:00,13:00~14:00,19:00~20:00,13:00~14:00,19:00~20:00,13:00~14:00,19:00~20:00,,,,,日本語,,日本橋小伝馬町13-4共同ビル201,35.691,139.77946
ダイナメディカル根津クリニック,,113-0031,03-5815-8687,,,1,,,,文京区,13105,根津,2-14-9,,,,1,,1,,1,,1:00~1:30,,1:00~1:30,,0:00~,,,,1:00~1:30,,,,,,1,根津2-14-9,35.71818,139.76645
みその診療所,,187-0041,042-342-7270,,,1,,2,,小平市,13211,美園町,2001/2/16,,,,1,1,1,1,,9:00~12:00,14:00~16:00,9:00~12:00,14:00~16:00,9:00~12:00,,9:00~12:00,14:00~16:00,9:00~12:00,14:00~16:00,9:00~12:00,,,,,,美園町1-2-16,35.73687,139.49077
東邦大学医療センター大森病院,,143-8541,03-3762-4151,,1,1,1,,,大田区,13111,大森西,2006/11/1,,1,1,,1,,1,,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,,,大森西6-11-1,35.57081,139.72794
広浜内科クリニック,,146-0093,03-5741-8333,,1,1,,,,大田区,13111,矢口,１-６-１７-１０１,,1,,,,,1,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,11:00~12:00,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,,,,,1,矢口１-６-１７-１０１,35.56809,139.69264
汐入診療所,,116-0003,03-3807-2302,,1,1,,1,,荒川区,13118,南千住,8-10-3-101,,1,,1,1,,,,9:00~12:00,14:00~16:30,9:00~12:00,14:00~16:30,9:00~12:00,14:00~16:30,9:00~12:00,14:00~19:30,9:00~12:00,14:00~16:30,9:00~12:00,,,,,1,南千住8-10-3-101,35.73777,139.8116
循環器内科クリニックひらおか,,184-0015,042-316-1735,,,1,,,,小金井市,13210,貫井北町,1-24-15,,,,1,1,,,,,14:00~16:00,,14:00~16:00,,14:00~16:00,,,,14:00~16:00,,,,,英語,,貫井北町1-24-15,35.70306,139.49771
すがひろ内科クリニック,,188-0012,042-464-3226,,,1,,,,西東京市,13229,南町,2004/3/2,サウスタウンビル2階,,,,,,,,9:00~12:30,15:00~19:00,9:00~12:30,15:00~19:00,,,9:00~12:30,15:00~19:00,9:00~12:30,15:00~19:00,9:00~12:30,,,,,,南町4-3-2 サウスタウンビル2階,35.72437,139.54707
医療法人社団さくら耳鼻咽喉科クリニック,,124-0013,03-5654-3387,,,1,,1,1,葛飾区,13122,東立石,3-25-12-101,,1,1,1,1,1,1,,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,,,9:00~13:00,15:00~18:00,9:00~13:00,,,,,,東立石3-25-12-101,35.73625,139.84668
医療法人社団ナイズ　キャップスクリニック光が丘,,179-0072,web予約,https://mypage.caps-clinic.jp/sp/index.html,1,1,1,2,,練馬区,13120,光が丘,２丁目１０番２号光が丘IMA東館２階,,1,1,1,1,1,1,1,9:00~13:00,15:00~21:00,9:00~13:00,15:00~21:00,9:00~13:00,15:00~21:00,9:00~13:00,15:00~21:00,9:00~13:00,15:00~21:00,9:00~13:00,15:00~21:00,9:00~13:00,15:00~21:00,英語,1,光が丘２丁目１０番２号光が丘IMA東館２階,35.75989,139.62961
武蔵村山市休日急患診療所,,208-0004,042-564-4114,,,1,,1,,武蔵村山市,13223,本町,1月23日,,,,1,1,1,,,,,,,,,,,,,,,9:30~11:30,13:00~15:00,,,本町1-23,35.75345,139.38556
モティーフ銀座クリニック,,104-0061,335286877,,,1,,,,中央区,13102,銀座,１丁目７番６号 ,銀座河合ビル４階,1,,1,,,1,,10:00~13:00,14:00~17:00,10:00~13:00,14:00~17:00,,,10:00~13:00,14:00~17:00,10:00~13:00,14:00~17:00,10:00~13:00,14:00~17:00,,,,,銀座１丁目７番６号 銀座河合ビル４階,35.67442,139.76804
北池袋 よしだ内科クリニック,,170-0012,03-3916-8010,,1,1,1,,,豊島区,13116,上池袋,４-２９-９北池テラス4階,,1,,1,,1,1,,11:00~12:00,16:30~17:30,11:00~12:00,16:30~17:30,11:00~12:00,,11:00~12:00,16:30~17:30,11:00~12:00,16:30~17:30,11:00~12:00,,,,,,上池袋４-２９-９北池テラス4階,35.74129,139.71841
医療法人社団土筆会桜丘クリニック,,156-0054,03-5426-2292,,1,1,,,,世田谷区,13112,桜丘,５丁目１７-４， ,直井ビル1F,1,,1,,1,1,,,18:00~19:00,,18:00~19:00,,18:00~19:00,,18:00~19:00,,18:00~19:00,,,,,,,桜丘５丁目１７-４， 直井ビル1F,35.64533,139.62241
医療法人社団　昭郷会　田中団地診療所,,196-0014,042-545-2514,,,1,,1,1,昭島市,13207,田中町,2003/5/17,103,,,1,,1,,,12:00~12:30,,12:00~12:30,,12:00~12:30,,,,12:00~12:30,,12:00~12:30,,,,無し,,田中町3-5-17 103,35.71521,139.36308
世田谷通り桜内科クリニック,,156-0053,03-3420-1159,,1,1,1,,1,世田谷区,13112,桜,3-2-6アブニール桜,,1,,1,1,1,1,,11:30~12:00,18:30~19:00,11:30~12:00,18:30~19:00,11:30~12:00,18:30~19:00,,,11:30~12:00,18:30~19:00,12:30~13:00,16:30~17:00,,,,1,桜3-2-6アブニール桜,35.64003,139.63962
にしじま小児科,,131-0046,03-3619-9585,,1,1,,2,,墨田区,13107,京島,1-23-16,,1,,1,1,1,1,,11:30~13:00,5:30~6:00,11:30~13:00,5:30~6:00,,,11:30~13:00,5:30~6:00,11:30~13:00,5:30~6:00,11:30~13:30,,,,,,京島1-23-16,35.71621,139.81897
鈴木内科医院,,143-0023,03-3772-1853,,1,1,,,,大田区,13111,山王,3-29-1,,1,,1,1,,1,,9:00~12:00,15:00~17:00,9:00~12:00,15:00~17:00,9:00~12:00,15:00~16:30,,,9:00~12:00,15:00~17:00,9:00~12:00,,,,,,山王3-29-1,35.58558,139.72502
一般社団法人 品川区医師会 品川区医師会診療所,,140-0001,03-3450-7650,,1,1,,1,,品川区,13109,北品川,2003/7/25,,,,1,1,1,,,,,,,,,,,,,,17:00~21:30,9:00~12:00,12:00~21:30,,,北品川3-7-25,35.61821,139.74309
おかべふじこ内科・循環器クリニック,,162-1843,03-3269-1021,,1,1,1,,,新宿区,13104,市谷田町,1-19-301,,1,,,,,1,,9:00~12:00,2:00~7:00,9:00~12:00,2:00~6:00,9:00~12:00,2:00~6:00,9:00~12:00,2:00~6:00,9:00~12:00,2:00~6:00,9:00~12:00,0:00~1:00,,,,,市谷田町1-19-301,35.6936,139.73654
医療法人社団松緑会永寿堂医院,,125-0061,03-3604-2101,,1,1,1,1,,葛飾区,13122,亀有,3丁目43番5号,,1,,1,1,1,1,,11:00~12:00,12:00~13:00,11:00~12:00,12:00~13:00,11:00~12:00,12:00~13:00,,,11:00~12:00,12:00~13:00,11:00~12:00,12:00~13:00,,,ドイツ語、英語,,亀有3丁目43番5号,35.76668,139.8504
医療法人社団シンセリティ ニコこどもクリニック,,158-0094,03-6431-0205,,1,1,1,1,,世田谷区,13112,玉川,1-15-6-102,,1,,1,1,1,1,,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,16:00~18:00,9:00~12:00,,,,英語,,玉川1-15-6-102,35.60999,139.63126
医療法人社団育心会　糀谷こどもクリニック,,144-0034,web予約,https://koujiya-kodomo.com/,1,1,,2,,大田区,13111,西糀谷,４-２９-１６,,1,,1,1,1,1,,,15:30~18:30,,15:30~18:30,,,,15:30~18:30,,,,15:00~15:30,,,,,西糀谷４-２９-１６,35.55468,139.72891
日本橋さくらクリニック,,103-0025,０３-６６６１-９０６１,,1,1,,,,中央区,13102,茅場町,2001/9/2,稲村ビル5階,1,1,1,1,1,1,,9:00~12:45,14:00~17:45,,14:00~17:45,,,9:00~12:45,14:00~17:45,,14:00~17:45,9:00~12:45,,,,なし,1,茅場町1-9-2 稲村ビル5階,43.05536,141.341
医療法人社団シンセリティ いなみ内科クリニック,,154-0024,03-3413-1730,,1,1,1,,1,世田谷区,13112,三軒茶屋,1-13-7三茶JOYビル2階,,1,,1,1,,1,,9:00~13:00,14:30~17:30,9:00~13:00,14:30~17:30,9:00~13:00,14:30~17:30,9:00~13:00,14:30~17:30,9:00~13:00,14:30~17:30,9:00~13:00,,,,,1,三軒茶屋1-13-7三茶JOYビル2階,35.63906,139.67216
医療法人社団シンセリティいなみ小児科,,154-0002,03-3421-4885,,1,1,1,1,1,世田谷区,13112,下馬,3月10日,-7,1,,1,1,,,,9:00~12:30,15:30~19:00,9:00~12:30,15:30~19:00,9:00~12:30,15:30~19:00,9:00~12:30,15:30~19:00,9:00~12:30,15:30~19:00,9:00~12:30,13:30~15:00,,,英語,,下馬３-１０ -７,35.63523,139.67401
医療法人社団 福耳会 内山耳鼻咽喉科医院,,197-0011,042-551-0989,,1,1,1,1,,福生市,13218,大字福生,1263,,1,,,1,,,,,3:00~4:00,11:00~12:00,,11:00~12:00,,11:00~12:00,,11:00~12:00,,,,,,,,大字福生１２６３,35.74108,139.32147
今井内科,,183-0057,042-361-4613,,1,1,,,,府中市,13206,晴見町,1-17-24ハイツ山下101,,,,1,1,1,,,9:00~12:00,,9:00~12:00,,9:00~12:00,,,,9:00~12:00,,,,,,英語 片言程度,,晴見町1-17-24ハイツ山下101,35.68123,139.47926
大塚小児科医院,,186-0002,042-577-3121,,1,1,,1,,国立市,13215,東,4-24-18,,1,,1,,1,1,1,9:00~11:00,16:00~17:00,9:00~11:00,16:00~17:00,9:00~11:00,16:00~17:00,,,9:00~11:00,16:00~17:00,9:00~11:00,,,,,,東4-24-18,35.68791,139.4514
医療法人社団緑萌会重城内科クリニック,,190-0032,042-538-7431,,1,1,,1,,立川市,13202,上砂町,2001/2/3,,,,1,,1,,1,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,,9:00~12:00,14:00~18:00,9:00~12:00,12:00~13:00,,,,,上砂町1-2-3,35.71975,139.39174
医療法人社団幸和会 駒一クリニック,,170-0003,03-5977-8701,,1,1,,1,,豊島区,13116,駒込,2001/4/1,菊水マンション101号室,1,,1,1,,1,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,12:00~13:00,,,,,1,駒込1-4-1 菊水マンション101号室,35.73504,139.7496
和田堀診療所,,166-0012,03-3381-6840,,,1,,1,1,杉並区,13115,和田,2-42-5,,1,,,,1,1,1,11:00~13:00,,11:00~13:00,,11:00~13:00,,11:00~13:00,,11:00~13:00,,11:00~13:00,,,,,,和田2-42-5,35.69189,139.6557
セイメイ内科,,164-0011,03-5389-2972,,1,1,,1,1,中野区,13114,中央,1丁目25番5号 ,MKマンション106,1,,,,,1,,,15:00~18:00,,15:00~18:00,,15:00~18:00,,,,15:00~18:00,9:00~13:00,,,,,,中央1丁目25番5号 MKマンション106,35.70137,139.68553
明大前クリニック,,156-0043,03-5376-2281,,1,1,,,,世田谷区,13112,松原,2-42-14美鈴Sビル101,,1,,,,1,,,12:00~13:00,18:00~19:00,,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,,12:00~13:00,,,,,1,松原2-42-14美鈴Sビル101,35.66914,139.64914
